objectid,title,date,start_year,end_year,date_type
ihl_artist_174,Utagawa Kuniaki II 二代 歌川国,1835-1888,1835,1888,birth-death
ihl_artist_175,Utagawa Kunimasa IV 四代 歌川国政,1848-1920,1848,1920,birth-death
ihl_artist_176,Utagawa Kunimatsu 歌川国松,1855-1944,1855,1944,birth-death
ihl_artist_177,Utagawa Kunisada I 歌川国貞,1786–1865,1786,1865,birth-death
ihl_artist_178,Utagawa Kunisada II 二代 歌川国貞,1823-1880,1823,1880,birth-death
ihl_artist_179,Utagawa Kuniteru I 初代 歌川 国輝,active ca. 1820-1860,1820,1860,active
ihl_artist_180,Utagawa Kuniteru II ニ代 歌川国輝,1830-1874,1830,1874,birth-death
ihl_artist_181,Utagawa Kuniteru III 三代 歌川国輝,active c. 1886-1895,1886,1895,active
ihl_artist_182,Utagawa Kunitoshi 歌川国利,1847-1899,1847,1899,birth-death
ihl_artist_183,Utagawa Masanobu 歌川政信,fl. 1882-1887,1882,1887,birth-death
ihl_artist_184,Utagawa Sadahide 歌川貞秀,1807-1873,1807,1873,birth-death
ihl_artist_185,Utagawa Toshimasa 歌川年昌 (Shunsai 春斎),1866-1913,1866,1913,birth-death
ihl_artist_186,Utagawa Yoshiiku 歌川芳幾,1833-1904,1833,1904,birth-death
ihl_artist_187,Utagawa Yoshimine 歌川芳峯,active c. 1855-1877,1855,1877,active
ihl_artist_188,Utagawa Yoshimori 歌川芳盛,1830–1884,1830,1884,birth-death
ihl_artist_189,Utagawa Yoshimune II 二代 歌川芳宗,1863-1941,1863,1941,birth-death
ihl_artist_190,Utagawa Yoshitaki 歌川芳滝,1841-1899,1841,1899,birth-death
ihl_artist_191,Utagawa Yoshitora 歌川芳虎,fl. c. 1836-1882,1836,1882,birth-death
ihl_artist_192,Utagawa Yoshitsuya 歌川芳艶,1822-1866,1822,1866,birth-death
ihl_artist_193,Utagawa Yoshitsuya II 二代 歌川芳艶,active 1870s,1870,1870,active
ihl_artist_194,Wada Sanzō 和田三造,1883-1967,1883,1967,birth-death
ihl_artist_195,Wakayama Yasōji 若山八十氏,1903-1983,1903,1983,birth-death
ihl_artist_196,Watanabe Nobukazu 渡辺延一,1872-1944,1872,1944,birth-death
ihl_artist_197,Yamada Toshitada 山田年忠 (Yamada Keichū 山田敬中),1868-1934,1868,1934,birth-death
ihl_artist_198,Yamaguchi Gen 山口源,1896-1976,1896,1976,birth-death
ihl_artist_199,Yamaguchi Sohei 山口草平,1882-1961,1882,1961,birth-death
ihl_artist_200,Yamamura Toyonari 山村豊成 (Yamamura Kōka 山村耕花),1885-1942,1885,1942,birth-death
ihl_artist_201,Yamazaki Toshinobu 山崎年信,1857-1886,1857,1886,birth-death
ihl_artist_202,Yasui Sōtarō 安井曾太郎,1888–1955,1888,1955,birth-death
ihl_artist_203,Bunshin 文信,active 1800-1880,1800,1880,active
ihl_artist_204,Yōsai Nobushige 揚斎延重,act. 1894-1897,1894,1897,birth-death
ihl_artist_205,Yoshida Chizuko 吉田千鶴子,1924-2017,1924,2017,birth-death
ihl_artist_206,Yoshida Hiroshi 吉田博,1876-1950,1876,1950,birth-death
ihl_artist_207,Yoshida Hodaka 吉田穂高,1926-1995,1926,1995,birth-death
ihl_artist_208,Yoshida Masaji 吉田政次,1917–1971,1917,1971,birth-death
ihl_artist_209,Yoshida Tōshi 吉田遠志,1911-1995,1911,1995,birth-death
ihl_artist_210,Yōshū Chikanobu 楊洲周延,1838-1912,1838,1912,birth-death
ihl_artist_211,Yukawa Hiromitsu 湯川広光,active c. 1894,1894,1894,active
ihl_artist_212,Yūsai Toshiaki 幽斎年章,1864-1921,1864,1921,birth-death
ihl_artist_213,Akamatsu Rinsaku 赤松麟作,1878-1953,1878,1953,birth-death
ihl_artist_214,Amano Kunihiro 天野邦弘,1929-2020,1929,2020,birth-death
ihl_artist_215,Arai Shōri 新井勝利,1895-1972,1895,1972,birth-death
ihl_artist_216,"Brangwyn, Frank",1867-1956,1867,1956,birth-death
ihl_artist_217,Kitani Chigusa 木谷千種,1895-1947,1895,1947,birth-death
ihl_artist_218,Ebina Masao 海老名正夫,1913-1980,1913,1980,birth-death
ihl_artist_219,Fukiya Kōji 蕗谷虹児,1898-1979,1898,1979,birth-death
ihl_artist_220,Hasegawa Yuichi 長谷川雄一,b. 1945,1945,,birth
ihl_artist_221,Hishikawa Sōri III 三代目 菱川宗理,active c. 1798-1840,1798,1840,active
ihl_artist_222,Ikeda Shōen 池田蕉園,1886-1917,1886,1917,birth-death
ihl_artist_223,Ikeda Shūzō 池田修三,1922-2004,1922,2004,birth-death
ihl_artist_224,Itō Shinsui 伊東 深水,1898-1972,1898,1972,birth-death
ihl_artist_225,Kawabune Misao 川船水棹,1887-1980,1887,1980,birth-death
ihl_artist_226,Kitano Tsunetomi 北野恒富,1880-1947,1880,1947,birth-death
ihl_artist_227,Kitao Masayoshi (Kuwagata Keisai) 北尾政美 (鍬形蕙齋),1764-1824,1764,1824,birth-death
ihl_artist_228,Kurihara Gyokuyō 栗原玉葉,1883 - 1922,1883,1922,birth-death
ihl_artist_229,Kurosaki Akira 黒崎彰,1937-2019,1937,2019,birth-death
ihl_artist_230,Mabuchi Hikaru 馬淵晃,1929-?,1929,,birth
ihl_artist_231,Matsumoto Fūko 松本楓湖,1840-1923,1840,1923,birth-death
ihl_artist_232,Moritani Rikio 森谷利喜雄,active 1920s,1920,1920,active
ihl_artist_233,Munakata Shikō 棟方志功,1903-1975,1903,1975,birth-death
ihl_artist_234,Mutō Kan'ichi 武藤完一,1892-1982,1892,1982,birth-death
ihl_artist_235,Nishijima Katsuyuki 西嶋勝之,b. 1945,1945,,birth
ihl_artist_236,Nonaka Mitsumasa 野中光正,b. 1949,1949,,birth
ihl_artist_237,Ōtahara Tsukasa 太田原司,active 1950-1995,1950,1995,active
ihl_artist_238,Ōhashi Gekko 大橋月皎,b. 1895,1895,,birth
